station,lat,lon,elev,sens_z,start,end,time,country,time_corr,mean_p,lower_p,upper_p
ag,-8.96,-77.64,4797,2,20/05/2006 00:00,12/05/2013 23:00,local,peru,5,590,500,750
sg,-9.49,-77.34,4790,2,26/07/2010 00:00,18/09/2012 23:00,local,peru,5,591,500,750
qqg,-13.79,-70.89,5180,2.5,27/10/2011 00:00,25/08/2016 23:00,local,peru,5,567,500,750
zongo,-16.25,-68.17,5050,2,01/09/2004 00:00,31/08/2019 23:45,local,bolivia,4,575,500,750
mort,46.42,9.42,2100,3.5,01/07/2007 00:00,30/06/2013 23:30,utc,switzerland,0,775,500,1000
stor,67.9,18.56,1387,2,11/07/2010 15:00,02/09/2011 13:00,utc,sweden,0,862,500,1000
naulek,27.72,86.9,5350,var,27/11/2012 12:30,09/11/2021 10:00,local,nepal,-5.75,557,500,750
ice,64.5,-20.41,500,2,01/06/2001 01:00,12/07/2010 11:00,local,iceland,0,951,800,1000
kan,67.0955,-49.9513,670,var,01/09/2008 00:00,05/04/2015 21:00,utc,greenland ,0,926,800,1000
kerst,-3.06,37.36,5873,var,09/02/2005 01:00,23/01/2008 00:00,local,tanzania,-3,502,450,700