snow,,,,
lower,upper,mean,,
0.9,0.9,0.9,,Noe: excludes ablation hollows and penitentes
1.3,2,1.65,,
2,2,2,,
2.5,2.5,2.5,,
5,5,5,,
6,6,6,,
0.2,0.2,0.2,,
1,12,6.5,,
1.9,1.9,1.9,,
4,4,4,,
4.4,4.4,5,,
5,,,,
,,,,
mean,,2.607142857,,
,,,,
ice,,,,
0.1,0.1,0.1,,
0.06,0.2,0.13,,
0.7,2.5,1.6,,
1,1,1,,
1,1,1,,
1.1,1.1,1.1,,
1.2,5.8,3.5,,
1.3,1.3,1.3,,
1.3,5,3.15,,
1,2.8,1.9,,
1.7,1.7,1.7,,
1.8,1.8,1.8,,
2,2,2,,
2.4,2.4,2.4,,
2.4,2.7,2.55,,
5.5,6.9,6.2,,
3,15,9,,
20,80,50,,
50,50,50,,
,,,,
mean,,7.391052632,,